company_name,review_title,review_text,review_stars
4917491774260051474,Atención rápida,"Atención rápida, serios en los plazos",5
-7004654474257749677,Two Months,Bad costumer services,1
2449399274521346138,El host es barato y el discord merece un 10,El host es barato y el servicio del discord de 10 🤑🤙,5
840474153977914981,Muy rapido y barato.,Muy rapido y barato.,5
-1038584032044167479,Todo perfecto,Todo perfecto! En el mismo día hicieron la entrega. Ya es la 2da vez que envío y ningún problema,5
2576885393236684416,Carlotaduran es una tienda 100%…,"Carlotaduran es una tienda 100% resposable y de una gran calidad, la recomiendo al full son los mejores",5
-130964352770094162,Es una estafa solo quitan el dinero,Es una estafa solo quitan el dinero,1
-130964352770094162,Son unos estafadores y unos ladrones,Son unos estafadores y unos ladrones. Compré un ipad y ni me ha llegado el ipad ni  me han devuelto el dinero. He intentado contactar con ellos y ya la página ni existe. Sinvergüenzas que roban a la gente que menos dinero tienen. No compréis nada a estos hijos de puta.,1
-130964352770094162,Estafadores,"Estafadores, lo peor de todo es que se aprovechan de niñ@s que con toda la ilusión y ahorrando para comprarse un móvil los engañan y se aprovechan de ellos, manipuladores. Yo ya he tramitado la denuncia y nos veremos donde tengamos que vernos. Eso sí ese dinero volverá a mi hija, de eso que no os quepa duda. SINVERGÜENZAS.",1
-130964352770094162,Soy una clienta real,Soy una clienta real. Son unos ladrones. Te tramitan un pedido que nunca llega la y cuando les pides explicaciones dejan de responderte. NI SE OS OCURRA COMPRAR. Los comentarios positivos son falsos hechos por ellos mismos.,1
-130964352770094162,Son unos estafadores,"Son unos estafadores, no tienen vergüenza ninguna, te pintan muy bonito un servicio de atención al cliente que después te vacila, te miente, te insulta y te exige un respeto que ellos no te dan; ni ha llegado el producto ni ha llegado el reembolso. Tienen a una tal maría respondiendo los mails que parece mentira que esté atendiendo al público con la prepotencia y el poco respeto que tiene. En resumen, todos los comentarios buenos que tienen son bots comprados por ellos mismos, no compren nada ya que ni va a llegar el producto ni les van a devolver el dinero nunca, ya que se excusan en que tienen una legalidad muy estricta y le remiten el problema del reembolso al banco, cuando ese dinero nunca va a volver a tu bolsillo porque ellos son unos estafadores mentirosos que se lo van a quedar. Aun así, mi caso ya está en vía legal, y aconsejo a todo el mundo en mi situación que haga lo mismo.",1
-130964352770094162,Le pongo una estrella y porque no se…,"Le pongo una estrella y porque no se puede poner menos, esta ""tienda"" es una estafadora, y todos los comentarios malos les dice que son falsos siendo al reves, llevo 2 meses esperando o el movil que pedí o el reembolso y por más correos que le escribo no responden. Me gustaría que a todos los que le ha pasado lo mismo que a mí nos pudiéramos juntar para denunciar a esta ""tienda""",1
-130964352770094162,Muy buena experiencia,"La tienda online, funciona muy bien. La exposición de los productos es clara y precisa, con buenas imágenes, y se ajusta a los productos realmente, lo cual lo compruebas cuando tienes tu equipo entre las manos. La atención al cliente también es clara, profesional y muy precisa.",5
-130964352770094162,¡ESTAFA!,"¡ESTAFA!
¡¡NO COMPRÉIS!! He visto que han estafado a varias personas al igual que a mi, hace cosa de mes y medio les denuncié y espero que cierren pronto la página! No caigáis en el engaño, es realmente penoso que haya gente ganándose la vida con estas cosas, deberían ponerse a trabajar y no vivir del cuento, el dinero cuesta mucho ganarlo como para que tres listos se lo lleven limpio!!! Tengo tres palabras para describiros pero prefiero ahorrármelas, ya me habéis robado suficiente!!  Espero que os sirva el mensaje y ni siquiera os planteéis comprar!",1
-130964352770094162,Excelente atención!!,"Excelente atención de María José, me ayudo y tuvo mucha paciencia con mi compra, recomendando al 100%.",5
-130964352770094162,Todo perfecto,"Envío muy rápido y artículo en perfectas condiciones, todo original, gracias.",5
-130964352770094162,He recibido el producto,"He recibido el producto en perfectas condiciones, bien embalado y rápido, volveré a comprar sin duda.",5
-130964352770094162,Una tienda de confianza sin duda,"Una tienda de confianza sin duda! Los envíos son muy rápidos, si tienes algún problema muy amablemente te ayudan a resolverlo y siempre te dan la mejor solución.",5
-130964352770094162,Súper sencillo y rápido,"Súper sencillo y rápido. Ha pesar de las circunstancias, el pedido llegó dos días antes de lo esperado, justo a tiempo para el cumpleaños de mi madre. Siempre confío en ellos. Además tienen todos los precios más baratos que nadie y siempre tienen descuentos increíbles. Totalmente recomendable.",5
-130964352770094162,Buen Trato,Terminal impecable. Transporte muy rápido. Funcionamiento perfecto.,5
-130964352770094162,Compré unos AirPods Pro,"Compré unos AirPods Pro y me llegaron en 4 días. La empresa de mensajería era Royal Mail. A pesar del temporal de nieve reciente, vinieron en plazo. La atención por email de la tienda también fue buena. Muy buen servicio y el producto nuevo, correctamente embalado y protegido. Recomendable.",5
-130964352770094162,Estafa no comprar,"Son unos estafadores,y unos ladrones,no t envian nada y si cancelas el pedido no t decuelven el dinero,yo ya los he denunciado a la policia y los estan investigando,no pararé hasta q paguen por lo q estan haciendo,y soy un cliente real,q siempre q reciben una queja real,ponen eso d q sospechamos d q no es un cliente real,todas las criticas buenas son irreales,lo real es q son unos ladrones,y no pararé hasta q paguen por lo q hacen",1
